"","plz_code","ZIP_3","ZIP3_ID"
"472","95182","951",93
"473","84056","840",49
"474","83098","830",87
"475","06712","067",673
"476","08548","085",730
"477","92533","925",847
"478","83569","835",131
"479","95691","956",143
"480","04523","045",862
"481","95692","956",143
"482","06792","067",674
"483","92727","927",838
"484","93102","931",55
"485","14727","147",772
"486","04575","045",862
"487","92445","924",849
"488","08228","082",735
"489","08062","080",738
"490","83278","832",136
"491","94347","943",26
"492","94357","943",26
"493","83379","833",133
"494","09366","093",1126
"495","17154","171",722
"496","93477","934",50
"497","04862","048",858
"498","84533","845",79
"499","94244","942",27
"500","14554","145",775
"501","14109","141",778
"502","94227","942",27
"503","14053","140",783
"504","94548","945",22
"505","14979","149",770
"506","12209","122",524
"507","13351","133",824
"508","85244","852",1004
"509","85256","852",1004
"510","81247","812",44
"511","06295","062",691
"512","07387","073",747
"513","80639","806",818
"514","39446","394",706
"515","81371","813",43
"516","95358","953",156
"517","85301","853",1001
"518","80803","808",815
"519","85376","853",999
"520","39108","391",713
"521","81925","819",30
"522","92278","922",852
"523","06179","061",692
"524","85452","854",1060
"525","95514","955",150
"526","92724","927",836
"527","95506","955",150
"528","93359","933",51
"529","91365","913",895
"530","19071","190",766
"531","06458","064",687
"532","96332","963",56
"533","06464","064",687
"534","95491","954",154
"535","97496","974",1018
"536","24327","243",547
"537","38322","383",615
"538","86879","868",981
"539","96166","961",58
"540","23899","238",595
"541","96145","961",58
"542","98669","986",1016
"543","96182","961",58
"544","99338","993",1149
"545","86682","866",988
"546","98666","986",1016
"547","91174","911",898
"548","38895","388",606
"549","86981","869",980
"550","86929","869",980
"551","96486","964",89
"552","90762","907",748
"553","99087","990",1158
"554","90451","904",760
"555","94133","941",1175
"556","94124","941",1175
"557","12524","125",521
"558","01157","011",813
"559","15569","155",913
"560","15378","153",914
"561","15526","155",913
"562","03054","030",908
"563","02689","026",769
"564","02827","028",767
"565","44534","445",329
"566","51645","516",1139
"567","26489","264",792
"568","44267","442",339
"569","52531","525",1094
"570","47626","476",210
"571","47804","478",208
"572","47829","478",208
"573","66763","667",304
"574","46045","460",100
"575","50767","507",957
"576","53518","535",342
"577","66128","661",260
"578","50677","506",958
"579","45147","451",160
"580","42489","424",229
"581","51375","513",1148
"582","67678","676",451
"583","67727","677",450
"584","49632","496",642
"585","56368","563",354
"586","79713","797",488
"587","79868","798",482
"588","67316","673",464
"589","55237","552",440
"590","79263","792",502
"591","79874","798",482
"592","59302","593",224
"593","42653","426",280
"594","56823","568",425
"595","53474","534",291
"596","53115","531",294
"597","45529","455",155
"598","42929","429",272
"599","44791","447",422
"600","42899","428",274
"601","26624","266",788
"602","79540","795",495
"603","49599","495",643
"604","49545","495",643
"605","57644","576",164
"606","67655","676",451
"607","67824","678",519
"608","48499","484",197
"609","26810","268",784
"610","48329","483",199
"611","44227","442",339
"612","88147","881",1080
"613","73326","733",1043
"614","25482","254",848
"615","97980","979",1072
"616","36132","361",561
"617","73333","733",1043
"618","30175","301",596
"619","88454","884",1071
"620","30625","306",602
"621","97270","972",1020
"622","97250","972",1020
"623","25451","254",848
"624","97256","972",1020
"625","29313","293",727
"626","31195","311",662
"627","97705","977",1079
"628","36208","362",560
"629","88167","881",1080
"630","89195","891",332
"631","73457","734",1042
"632","20354","203",620
"633","97288","972",1020
"634","97708","977",1079
"635","22089","220",405
"636","97241","972",1020
"637","37191","371",637
"638","97252","972",1021
"639","22043","220",405
"640","87544","875",1135
"641","23866","238",592
"642","99830","998",1169
"643","97509","975",1085
"644","38277","382",617
"645","89347","893",325
"646","87743","877",1165
"647","99826","998",1169
"648","97453","974",1018
"649","97633","976",1083
"650","91602","916",882
"651","22952","229",453
"652","21335","213",478
"653","29581","295",725
"654","97497","974",1018
"655","87757","877",1165
"656","21365","213",478
"657","23619","236",568
"658","99713","997",1170
"659","29392","293",727
"660","38124","381",618
"661","64521","645",1101
"662","64569","645",1101
"663","76227","762",1048
"664","76676","766",1115
"665","33142","331",511
"666","35088","350",587
"667","65929","659",353
"668","27580","275",922
"669","32051","320",630
"670","35452","354",576
"671","60528","605",60
"672","61239","612",1030
"673","63225","632",1104
"674","35440","354",576
"675","32052","320",630
"676","64291","642",1037
"677","64686","646",1100
"678","78532","785",265
"679","32479","324",625
"680","75175","751",1128
"681","60385","603",62
"682","35460","354",576
"683","35423","354",576
"684","63322","633",1102
"685","35091","350",586
"686","35085","350",586
"687","75233","752",1125
"688","64839","648",1098
"689","32469","324",625
"690","63477","634",1164
"691","25920","259",829
"692","71297","712",124
"693","74927","749",964
"694","78337","783",267
"695","72362","723",74
"696","64756","647",1099
"697","78359","783",268
"698","34474","344",409
"699","25792","257",834
"700","74858","748",966
"701","25926","259",829
"702","34549","345",407
"703","72458","724",72
"704","69437","694",174
"705","63741","637",1160
"706","70565","705",8
"707","74081","740",942
"708","63834","638",1156
"709","27313","273",925
"710","71638","716",116
"711","25850","258",830
"712","63863","638",1156
"713","25721","257",834
"714","72655","726",67
"715","25576","255",846
"716","34626","346",406
"717","71394","713",122
"718","25557","255",846
"719","71546","715",118
"720","25599","255",846
"721","25799","257",834
"722","97877","978",1077
"723","73265","732",971
"724","74613","746",968
"725","23999","239",590
"726","91241","912",897
"727","80999","809",814
"728","19065","190",766
"729","81373","813",43
"730","81369","813",43
"731","92281","922",852
"732","80805","808",815
"733","95497","954",154
"734","07907","079",739
"735","83684","836",130
"736","91809","918",875
"737","82278","822",19
"738","86697","866",988
"739","82399","823",17
"740","91090","910",900
"741","96523","965",88
"742","82294","822",19
"743","96275","962",57
"744","85250","852",1004
"745","90584","905",759
"746","82432","824",13
"747","82393","823",17
"748","19077","190",766
"749","96364","963",56
"750","89440","894",323
"751","86441","864",943
"752","91747","917",878
"753","86845","868",981
"754","86459","864",943
"755","23552","235",569
"756","86853","868",981
"757","99955","999",1168
"758","38440","384",614
"759","29473","294",726
"760","91734","917",878
"761","86899","868",981
"762","96158","961",58
"763","91793","917",878
"764","86971","869",980
"765","86946","869",980
"766","86641","866",988
"767","38350","383",616
"768","39393","393",707
"769","96110","961",58
"770","96487","964",89
"771","59872","598",218
"772","76863","768",1109
"773","65197","651",311
"774","35745","357",570
"775","67596","675",455
"776","65193","651",311
"777","67246","672",469
"778","55294","552",443
"779","78730","787",261
"780","67368","673",463
"781","67360","673",463
"782","33824","338",549
"783","68647","686",388
"784","35236","352",579
"785","35606","356",571
"786","25582","255",846
"787","88273","882",1078
"788","24986","249",564
"789","24787","247",534
"790","74679","746",968
"791","73092","730",978
"792","19339","193",764
"793","85408","854",1060
"794","83104","831",86
"795","84174","841",45
"796","84034","840",47
"797","83088","830",87
"798","83126","831",84
"799","93107","931",52
"800","93057","930",28
"801","92718","927",835
"802","06794","067",674
"803","83083","830",87
"804","08233","082",735
"805","04463","044",864
"806","83246","832",135
"807","83361","833",133
"808","16868","168",872
"809","83242","832",135
"810","92539","925",847
"811","83301","833",133
"812","94437","944",23
"813","84568","845",79
"814","06889","068",669
"815","08321","083",732
"816","14822","148",771
"817","83329","833",133
"818","94342","943",26
"819","84375","843",83
"820","84347","843",83
"821","09125","091",1132
"822","09130","091",1132
"823","94572","945",22
"824","94532","945",22
"825","17258","172",721
"826","94536","945",22
"827","10627","106",438
"828","13439","134",822
"829","13158","131",826
"830","94034","940",1177
"831","13189","131",826
"832","12347","123",523
"833","94065","940",1178
"834","94130","941",1175
"835","15712","157",912
"836","15537","155",913
"837","01983","019",853
"838","16303","163",881
"839","15299","152",915
"840","02899","028",767
"841","24893","248",531
"842","25355","253",850
"843","30171","301",596
"844","30659","306",602
"845","29303","293",727
"846","24363","243",546
"847","73111","731",976
"848","36217","362",560
"849","25474","254",848
"850","29646","296",724
"851","88171","881",1080
"852","36214","362",560
"853","73560","735",1041
"854","36115","361",561
"855","73579","735",1041
"856","36266","362",560
"857","74592","745",969
"858","88477","884",1071
"859","22765","227",462
"860","21109","211",491
"861","88317","883",1076
"862","31174","311",662
"863","88450","884",1071
"864","24643","246",536
"865","97650","976",1082
"866","73431","734",1042
"867","29336","293",727
"868","21435","214",473
"869","22179","221",404
"870","22397","223",400
"871","97258","972",1020
"872","97490","974",1018
"873","97714","977",1079
"874","97702","977",1079
"875","91631","916",883
"876","74594","745",969
"877","87474","874",1136
"878","87509","875",1135
"879","31228","312",661
"880","91610","916",883
"881","97355","973",1019
"882","87749","877",1165
"883","22962","229",453
"884","21409","214",471
"885","38259","382",617
"886","86491","864",943
"887","87496","874",1136
"888","87466","874",1136
"889","21406","214",471
"890","23821","238",594
"891","23815","238",594
"892","86470","864",943
"893","99755","997",1170
"894","29576","295",725
"895","91726","917",878
"896","91099","910",900
"897","82293","822",19
"898","06526","065",684
"899","91077","910",900
"900","90530","905",755
"901","86633","866",988
"902","91347","913",895
"903","82395","823",17
"904","86576","865",996
"905","85114","851",1005
"906","82387","823",17
"907","82349","823",18
"908","92360","923",851
"909","19059","190",766
"910","85120","851",1005
"911","19086","190",766
"912","18230","182",698
"913","92358","923",851
"914","85088","850",1009
"915","39122","391",713
"916","85395","853",1001
"917","85635","856",1052
"918","39288","392",712
"919","07922","079",739
"920","84106","841",46
"921","06124","061",692
"922","92421","924",849
"923","95679","956",143
"924","07548","075",745
"925","83059","830",87
"926","83024","830",87
"927","95701","957",139
"928","92721","927",839
"929","08491","084",731
"930","06868","068",669
"931","04209","042",868
"932","83559","835",131
"933","04356","043",867
"934","04357","043",867
"935","06901","069",664
"936","92726","927",838
"937","94330","943",26
"938","83365","833",133
"939","94350","943",26
"940","93494","934",50
"941","17248","172",719
"942","94353","943",26
"943","08294","082",736
"944","93466","934",50
"945","84329","843",83
"946","94424","944",23
"947","14542","145",775
"948","16766","167",873
"949","94439","944",23
"950","09427","094",1123
"951","04720","047",859
"952","04895","048",858
"953","09575","095",1119
"954","13503","135",820
"955","94529","945",22
"956","10559","105",363
"957","09627","096",1116
"958","10179","101",387
"959","87616","876",1166
"960","91456","914",893
"961","87600","876",1166
"962","38879","388",606
"963","87629","876",1166
"964","86750","867",982
"965","91732","917",878
"966","38855","388",606
"967","91466","914",893
"968","91735","917",878
"969","86420","864",943
"970","38444","384",614
"971","86653","866",988
"972","86675","866",988
"973","91074","910",900
"974","19246","192",765
"975","99192","991",1154
"976","99707","997",1170
"977","91058","910",900
"978","15749","157",912
"979","12487","124",522
"980","15757","157",912
"981","94139","941",1175
"982","03205","032",905
"983","15377","153",914
"984","01909","019",855
"985","02736","027",768
"986","68649","686",388
"987","32289","322",627
"988","61476","614",1028
"989","64572","645",1101
"990","68219","682",395
"991","65824","658",361
"992","35444","354",576
"993","75217","752",1124
"994","75394","753",1121
"995","76698","766",1115
"996","59964","599",216
"997","60327","603",62
"998","28759","287",896
"999","75177","751",1128
"1000","27472","274",924
"1001","25899","258",830
"1002","69117","691",187
"1003","69118","691",187
"1004","71131","711",125
"1005","72181","721",33
"1006","72336","723",74
"1007","75417","754",1117
"1008","64385","643",1036
"1009","25761","257",834
"1010","72414","724",72
"1011","71154","711",126
"1012","28327","283",901
"1013","71139","711",126
"1014","78315","783",267
"1015","71735","717",110
"1016","64739","647",1099
"1017","63538","635",1162
"1018","74336","743",929
"1019","71706","717",110
"1020","74357","743",929
"1021","70825","708",2
"1022","24994","249",564
"1023","78467","784",266
"1024","63864","638",1157
"1025","63906","639",1151
"1026","21726","217",525
"1027","27449","274",923
"1028","73730","737",1038
"1029","36399","363",559
"1030","63879","638",1156
"1031","63860","638",1156
"1032","71576","715",118
"1033","37649","376",631
"1034","36396","363",559
"1035","88518","885",1068
"1036","24872","248",531
"1037","34385","343",412
"1038","52538","525",1094
"1039","47623","476",210
"1040","47625","476",210
"1041","53940","539",330
"1042","52445","524",1095
"1043","52385","523",1023
"1044","54453","544",240
"1045","47445","474",213
"1046","40670","406",1063
"1047","54526","545",234
"1048","47059","470",217
"1049","47119","471",215
"1050","66787","667",304
"1051","40225","402",1012
"1052","66773","667",304
"1053","41541","415",321
"1054","54516","545",234
"1055","66292","662",259
"1056","56767","567",347
"1057","45133","451",160
"1058","45144","451",160
"1059","50678","506",958
"1060","66625","666",249
"1061","49767","497",641
"1062","56759","567",347
"1063","26842","268",784
"1064","66978","669",295
"1065","67757","677",447
"1066","26474","264",794
"1067","67715","677",446
"1068","57587","575",166
"1069","58706","587",103
"1070","77971","779",390
"1071","55124","551",445
"1072","59556","595",221
"1073","35792","357",570
"1074","76596","765",1044
"1075","35796","357",570
"1076","35716","357",570
"1077","55130","551",445
"1078","65462","654",308
"1079","67549","675",455
"1080","35630","356",571
"1081","49328","493",648
"1082","67575","675",455
"1083","33649","336",499
"1084","72297","722",76
"1085","78739","787",261
"1086","26441","264",792
"1087","26419","264",792
"1088","77866","778",392
"1089","57578","575",166
"1090","67295","672",470
"1091","77871","778",392
"1092","67816","678",520
"1093","49456","494",645
"1094","65620","656",377
"1095","88045","880",1084
"1096","97848","978",1077
"1097","25575","255",846
"1098","34266","342",419
"1099","88371","883",1074
"1100","74238","742",934
"1101","97788","977",1079
"1102","30419","304",605
"1103","88255","882",1078
"1104","24782","247",534
"1105","51147","511",1096
"1106","45307","453",158
"1107","56861","568",425
"1108","66578","665",250
"1109","42115","421",233
"1110","49808","498",638
"1111","44807","448",417
"1112","48493","484",197
"1113","66916","669",297
"1114","53545","535",345
"1115","58300","583",109
"1116","26553","265",789
"1117","53562","535",345
"1118","53783","537",338
