"","ZIP_3","ZIP3_ID"
"972","730",979
"973","392",711
"974","136",819
"975","351",581
"976","694",178
"977","256",845
"978","721",35
"979","706",7
"980","975",1093
"981","867",987
"982","864",945
"983","417",314
"984","410",286
"985","413",282
"986","342",420
"987","817",32
"988","669",296
"989","572",171
"990","264",795
"991","656",373
"992","557",515
"993","580",120
"994","563",355
"995","656",378
"996","657",371
"997","575",167
"998","535",344
"999","957",138
"1000","044",866
"1001","955",151
"1002","856",1054
"1003","228",458
"1004","971",1022
"1005","386",612
"1006","786",264
"1007","710",77
"1008","721",38
"1009","741",938
"1010","824",14
"1011","790",510
"1012","492",650
"1013","186",693
"1014","158",911
"1015","393",709
"1016","957",141
"1017","093",1127
"1018","015",808
"1019","906",752
"1020","864",944
"1021","019",854
"1022","315",680
"1023","326",655
"1024","887",1134
"1025","979",1073
"1026","483",203
"1027","798",481
"1028","793",500
"1029","545",236
"1030","415",322
"1031","545",238
"1032","791",508
"1033","305",604
"1034","883",1075
"1035","244",545
"1036","865",994
"1037","916",885
"1038","396",703
"1039","955",145
"1040","278",917
"1041","725",68
"1042","639",1153
"1043","713",123
"1044","236",567
"1045","987",1015
"1046","065",685
"1047","851",1007
"1048","807",817
"1049","077",743
"1050","840",48
"1051","045",863
"1052","174",717
"1053","017",805
"1054","387",609
"1055","692",180
"1056","316",676
"1057","783",269
"1058","742",937
"1059","887",1133
"1060","791",507
"1061","591",226
"1062","517",1138
"1063","140",782
"1064","246",537
"1065","856",1053
"1066","327",653
"1067","694",175
"1068","721",37
"1069","592",225
"1070","798",486
"1071","224",398
"1072","241",556
"1073","674",461
"1074","277",918
"1075","895",319
"1076","613",1029
"1077","767",1113
"1078","753",1122
"1079","181",700
"1080","503",960
"1081","663",256
"1082","482",204
"1083","865",993
"1084","955",146
"1085","083",734
"1086","175",714
"1087","867",985
"1088","424",228
"1089","267",785
"1090","265",790
"1091","724",73
"1092","735",1040
"1093","896",317
"1094","222",402
"1095","215",468
"1096","987",1014
"1097","896",318
"1098","343",415
"1099","657",370
"1100","682",396
"1101","782",271
"1102","330",512
"1103","656",374
"1104","517",1137
"1105","926",842
"1106","944",24
"1107","941",1172
"1108","095",1120
"1109","078",740
"1110","955",152
"1111","387",607
"1112","986",1017
"1113","657",372
"1114","639",1150
"1115","486",192
"1116","423",231
"1117","306",603
"1118","065",686
"1119","864",947
"1120","662",258
"1121","563",359
"1122","768",1108
"1123","798",483
"1124","656",376
"1125","930",29
"1126","853",1002
"1127","313",659
"1128","224",399
"1129","863",949
"1130","238",593
"1131","824",15
"1132","351",584
"1133","767",1112
"1134","694",177
"1135","484",198
"1136","215",467
"1137","267",787
"1138","576",162
"1139","957",137
"1140","833",134
"1141","667",306
"1142","485",195
"1143","561",380
"1144","583",108
"1145","334",504
"1146","748",965
"1147","906",754
"1148","768",1110
"1149","492",652
"1150","865",998
"1151","175",715
"1152","797",490
"1153","692",181
"1154","749",963
"1155","886",1065
"1156","725",69
"1157","410",287
"1158","546",289
"1159","228",457
"1160","247",535
"1161","374",633
"1162","658",362
"1163","515",1143
"1164","581",114
"1165","975",1092
"1166","644",1034
"1167","728",64
"1168","905",757
"1169","850",1010
"1170","261",801
"1171","576",165
"1172","582",113
"1173","678",517
"1174","665",254
"1175","556",427
"1176","915",891
"1177","677",448
"1178","258",832
"1179","258",831
